Date,Description,Montant,Client,Date_echeance,Statut_paiement,Categorie,Prix_vente,Cout_unitaire
01/10/2024,Loyer bureaux octobre - 250m² Paris Centre,-6500.00,SCI Immobilier Opéra,01/10/2024,Payé,Immobilier,0,6500.00
03/10/2024,Licence SaaS Enterprise - Automotive,42000.00,PSA Groupe Digital,18/10/2024,Payé,Ventes,50400.00,33600.00
05/10/2024,Consulting M&A advisory - Due diligence,-8900.00,KPMG Corporate Finance,05/10/2024,Payé,Services Pro,0,8900.00
07/10/2024,Vente Solution Enterprise - Fortune 500,65000.00,Michelin Digital,25/10/2024,Payé,Ventes,78000.00,52000.00
08/10/2024,Licence SaaS Enterprise - Logistics,35000.00,DHL Supply Chain Tech,28/10/2024,Payé,Ventes,42000.00,28000.00
10/10/2024,Infrastructure - MacBook Pro M3 × 10 devs,-32000.00,Apple France SARL,10/10/2024,Payé,Infrastructure IT,0,32000.00
12/10/2024,Formation cybersécurité - 25 participants,8500.00,Thales Academy,30/10/2024,Payé,Services,8500.00,5100.00
14/10/2024,Licence SaaS Enterprise - Pharma,48000.00,Sanofi R&D Digital,05/11/2024,Payé,Ventes,57600.00,38400.00
15/10/2024,Salaires oct - 12 devs + 5 commerciaux + équipe,-58900.00,URSSAF Île-de-France,31/10/2024,Payé,Masse Salariale,0,58900.00
17/10/2024,Marketing events - VivaTech booth + sponsoring,-12000.00,Viva Technology,17/10/2024,Payé,Marketing,0,12000.00
19/10/2024,Licence SaaS Enterprise - Media & Entertainment,38000.00,Publicis Groupe Digital,10/11/2024,Payé,Ventes,45600.00,30400.00
20/10/2024,Infrastructure - AWS Reserved Instances,-8900.00,Amazon Web Services,20/10/2024,Payé,Infrastructure IT,0,8900.00
22/10/2024,Vente Formation Leadership - 40 executives,18000.00,Orange Business Services,15/11/2024,Payé,Services,18000.00,10800.00
24/10/2024,Licence SaaS Enterprise - Aerospace defense,52000.00,Safran Aircraft Engines,18/11/2024,Payé,Ventes,62400.00,41600.00
25/10/2024,Consulting product strategy - Roadmap 2025,28000.00,BCG Digital Ventures,20/11/2024,Payé,Services,33600.00,22400.00
27/10/2024,Recrutement VP Engineering + équipe,-24500.00,Egon Zehnder Executive,31/10/2024,Payé,Masse Salariale,0,24500.00
28/10/2024,Licence SaaS Enterprise - Financial services,68000.00,BNP Paribas Corporate,25/11/2024,Payé,Ventes,81600.00,54400.00
30/10/2024,Infrastructure - Datadog Enterprise monitoring,-4500.00,Datadog Inc,15/11/2024,Payé,Infrastructure IT,0,4500.00
01/11/2024,Vente Solution Premium - International deal,85000.00,Airbus Operations,30/11/2024,Payé,Ventes,102000.00,68000.00
03/11/2024,Marketing - Google Ads Enterprise campaign,-8900.00,Google Ireland Limited,03/11/2024,Payé,Marketing,0,8900.00
05/11/2024,Licence SaaS Enterprise - Retail luxury,58000.00,LVMH Digital Innovation,05/12/2024,En attente,Ventes,69600.00,46400.00
07/11/2024,Consulting AI/ML - Custom model development,42000.00,Capgemini Engineering,10/12/2024,En attente,Services,50400.00,33600.00
10/11/2024,Levée fonds Série A - Final closing,150000.00,Eurazeo Venture,10/11/2024,Payé,Autres,150000.00,0.00
12/11/2024,Licence SaaS Enterprise - Energy transition,72000.00,Total Energies Ventures,15/12/2024,En attente,Ventes,86400.00,57600.00
14/11/2024,Infrastructure - Multi-region deployment,-12000.00,Google Cloud Platform,14/11/2024,Payé,Infrastructure IT,0,12000.00
15/11/2024,Salaires nov - 15 devs + 7 commerciaux + ops,-74500.00,URSSAF Île-de-France,30/11/2024,En attente,Masse Salariale,0,74500.00
