Date,Description,Montant,Client,Date_echeance,Statut_paiement,Categorie,Prix_vente,Cout_unitaire
25/08/2024,Vente rentrée anticipée,5800.00,Clients Web,10/09/2024,Payé,Ventes E-commerce,5800.00,4060.00
01/09/2024,Vente rentrée scolaire boutique,8500.00,Clients Boutique,01/09/2024,Payé,Ventes Boutique,8500.00,5950.00
08/09/2024,Vente en ligne - Rentrée,7200.00,Clients Web,25/09/2024,Payé,Ventes E-commerce,7200.00,5040.00
15/09/2024,Salaires septembre,-13500.00,URSSAF Région,30/09/2024,Payé,Masse Salariale,0,13500.00
18/09/2024,Commande B2B rentrée,9800.00,Distributeurs,10/10/2024,Payé,Ventes B2B,9800.00,6860.00
25/09/2024,Réapprovisionnement Q4,-28000.00,Fournisseurs Premium,15/10/2024,Payé,Achats Stock,0,28000.00
28/09/2024,Loyer octobre,-4200.00,SCI Commerce Local,01/10/2024,Payé,Immobilier,0,4200.00
05/10/2024,Vente boutique automne,12500.00,Clients Boutique,05/10/2024,Payé,Ventes Boutique,12500.00,8750.00
12/10/2024,Vente en ligne - Pré-fêtes,18000.00,Clients Web,28/10/2024,Payé,Ventes E-commerce,18000.00,12600.00
15/10/2024,Salaires octobre + intérimaires,-16500.00,URSSAF Région,31/10/2024,Payé,Masse Salariale,0,16500.00
20/10/2024,Commande grossiste Q4,15000.00,Grossiste National,15/11/2024,Payé,Ventes B2B,15000.00,10500.00
25/10/2024,Campagne marketing Black Friday,-4500.00,Agences Pub,25/10/2024,Payé,Marketing,0,4500.00
28/10/2024,Loyer novembre,-4200.00,SCI Commerce Local,01/11/2024,Payé,Immobilier,0,4200.00
01/11/2024,Vente boutique Toussaint,9800.00,Clients Boutique,01/11/2024,Payé,Ventes Boutique,9800.00,6860.00
10/11/2024,Vente Singles Day,22000.00,Clients Web,25/11/2024,Payé,Ventes E-commerce,22000.00,15400.00
15/11/2024,Salaires novembre + primes,-18000.00,URSSAF Région,30/11/2024,Payé,Masse Salariale,0,18000.00
22/11/2024,BLACK FRIDAY - Ventes exceptionnelles,65000.00,Tous Canaux,08/12/2024,Payé,Ventes E-commerce,65000.00,45500.00
25/11/2024,CYBER MONDAY - Suite Black Friday,42000.00,Clients Web,10/12/2024,Payé,Ventes E-commerce,42000.00,29400.00
28/11/2024,Loyer décembre,-4200.00,SCI Commerce Local,01/12/2024,Payé,Immobilier,0,4200.00
01/12/2024,Vente boutique Noël - Semaine 1,28000.00,Clients Boutique,01/12/2024,Payé,Ventes Boutique,28000.00,19600.00
08/12/2024,Vente en ligne Noël,35000.00,Clients Web,22/12/2024,Payé,Ventes E-commerce,35000.00,24500.00
10/12/2024,Commande entreprise cadeaux,18000.00,Entreprises CSE,24/12/2024,Payé,Ventes B2B,18000.00,12600.00
15/12/2024,Salaires décembre + 13ème mois,-24000.00,URSSAF Région,31/12/2024,Payé,Masse Salariale,0,24000.00
18/12/2024,Vente boutique Noël - Rush final,42000.00,Clients Boutique,18/12/2024,Payé,Ventes Boutique,42000.00,29400.00
22/12/2024,Dernière ligne droite Noël web,28000.00,Clients Web Express,28/12/2024,Payé,Ventes E-commerce,28000.00,19600.00
24/12/2024,Vente réveillon Noël,15000.00,Clients Boutique,24/12/2024,Payé,Ventes Boutique,15000.00,10500.00
28/12/2024,Soldes anticipées post-Noël,18500.00,Clients Boutique + Web,10/01/2025,En attente,Ventes E-commerce,18500.00,12950.00
31/12/2024,Bilan électricité annuel,-3200.00,EDF Pro,15/01/2025,Payé,Charges,0,3200.00
