Date,Description,Montant,Client,Date_echeance,Statut_paiement,Categorie,Prix_vente,Cout_unitaire
07/10/2024,Licence SaaS Enterprise - Retail chain,18900.00,Enseigne Distribution Nationale,22/10/2024,Payé,Ventes,20790.00,15120.00
08/10/2024,Prestations consulting digital transformation,10823.70,Accenture Technology,23/10/2024,En cours,Services,12988.44,8658.96
09/10/2024,Formation Vue.js - 6 participants,1140.00,Web Dev Institute,24/10/2024,Payé,Services,1140.00,684.00
10/10/2024,Achat matériel informatique - MacBook Pro M3,-3267.89,Apple France SARL,10/10/2024,Payé,Infrastructure IT,0,3267.89
10/10/2024,Licence SaaS Basic - Agence Voyage Evasion,299.00,Agence Voyage Evasion,25/10/2024,Payé,Ventes,299.00,199.33
11/10/2024,Déjeuner séminaire équipe - Team building,-234.70,Restaurant Le Bistrot,11/10/2024,Payé,Mobilité,0,234.70
12/10/2024,Vente Formation cybersécurité - 15 participants,7389.50,Orange Cyberdefense,27/10/2024,Payé,Services,8866.40,5911.60
13/10/2024,Licence SaaS Pro - Médecin Docteur Martin,899.00,Cabinet Médical Dr Martin,28/10/2024,Payé,Ventes,899.00,599.33
14/10/2024,Consulting cloud migration - AWS to Azure,2670.00,Cloud Expert Consulting,29/10/2024,Payé,Services,2937.00,2136.00
15/10/2024,Salaires équipe support oct - 2 tech support,-8623.45,URSSAF Île-de-France,31/10/2024,Payé,Masse Salariale,0,8623.45
15/10/2024,Licence SaaS Basic - Bijouterie Précieux,299.00,Bijouterie Le Précieux,30/10/2024,Payé,Ventes,299.00,199.33
16/10/2024,Formation GraphQL - 5 participants,950.00,API Academy,31/10/2024,Payé,Services,950.00,570.00
17/10/2024,Abonnement Dropbox Business Advanced,-278.90,Dropbox Inc,17/10/2024,Payé,Infrastructure IT,0,278.90
18/10/2024,Vente Produit Premium E - Dashboard Analytics,8067.34,Décathlon France,02/11/2024,En attente,Ventes,9680.81,6453.87
19/10/2024,Licence SaaS Pro - Psychologue Cabinet Esprit,899.00,Psychologue Cabinet Esprit,03/11/2024,Payé,Ventes,899.00,599.33
20/10/2024,Frais hébergement web - VPS Cloud dédiés,-589.12,OVHcloud SAS,20/10/2024,Payé,Infrastructure IT,0,589.12
20/10/2024,Formation Machine Learning - 8 participants,1520.00,AI Learning Institute,04/11/2024,Payé,Services,1520.00,912.00
21/10/2024,Licence SaaS Basic - Électricien Pro Volt,299.00,Électricien Pro Volt,05/11/2024,Payé,Ventes,299.00,199.33
22/10/2024,Prestations développement IA - NLP chatbot,14823.60,Capgemini Engineering,06/11/2024,En attente,Services,17788.32,11858.88
23/10/2024,Consulting SEO - Audit technique complet,1560.00,Agence SEO Performance,07/11/2024,Payé,Services,1716.00,1248.00
24/10/2024,Licence SaaS Enterprise - Groupe BTP,21450.00,Groupe Construction BTP,08/11/2024,Payé,Ventes,23595.00,17160.00
25/10/2024,Facture eau et charges oct - Bureaux,-428.73,Veolia Eau Île-de-France,10/11/2024,En cours,Immobilier,0,428.73
25/10/2024,Formation Scrum Master - 10 participants,1900.00,Agile Training Center,09/11/2024,Payé,Services,1900.00,1140.00
26/10/2024,Licence SaaS Basic - Dentiste Cabinet Sourire,299.00,Dentiste Cabinet Sourire,11/11/2024,Payé,Ventes,299.00,199.33
27/10/2024,Déplacement Marseille - Vol A/R mission,-298.50,Air France,27/10/2024,Payé,Mobilité,0,298.50
28/10/2024,Vente Licence SaaS Enterprise - Aerospace,16289.45,Airbus Defense & Space,12/11/2024,En attente,Ventes,19547.34,13031.56
29/10/2024,Licence SaaS Pro - Ostéopathe Bien-Être,899.00,Ostéopathe Bien-Être,13/11/2024,Payé,Ventes,899.00,599.33
30/10/2024,Maintenance serveurs cloud - Monitoring 24/7,-1023.67,Amazon Web Services,15/11/2024,En cours,Infrastructure IT,0,1023.67
30/10/2024,Formation DevSecOps - 6 participants,1140.00,Security Dev Academy,14/11/2024,Payé,Services,1140.00,684.00
31/10/2024,Licence SaaS Basic - Restaurant Pizzeria,299.00,Pizzeria Bella Vita,16/11/2024,Payé,Ventes,299.00,199.33
01/11/2024,Consulting Product Management - Roadmap Q4,2340.00,Product Consulting Group,17/11/2024,Payé,Services,2574.00,1872.00
02/11/2024,Licence SaaS Pro - Agence Immobilière Habitat,899.00,Agence Habitat Immobilier,18/11/2024,Payé,Ventes,899.00,599.33
03/11/2024,Abonnement LinkedIn Sales Navigator Teams,-567.80,LinkedIn Corporation,03/11/2024,Payé,Marketing,0,567.80
04/11/2024,Formation Angular - 7 participants,1330.00,Frontend Mastery School,19/11/2024,En attente,Services,1330.00,798.00
05/11/2024,Licence SaaS Basic - Tatoueur Art Ink,299.00,Tatoueur Art Ink Studio,20/11/2024,En attente,Ventes,299.00,199.33
06/11/2024,Consulting blockchain - Smart contracts audit,3450.00,Blockchain Experts Labs,21/11/2024,En attente,Services,3795.00,2760.00
07/11/2024,Licence SaaS Enterprise - Financial services,28900.00,Société Générale Digital,22/11/2024,En attente,Ventes,31790.00,23120.00
08/11/2024,Frais publicité Meta Ads - Campagne lead gen,-1834.56,Meta Platforms Ireland,08/11/2024,Payé,Marketing,0,1834.56
09/11/2024,Formation AWS Solutions Architect - 5 pers,2375.00,Cloud Certification Academy,23/11/2024,En attente,Services,2375.00,1425.00
10/11/2024,Licence SaaS Pro - Coach Sportif FitLife,899.00,Coach Sportif FitLife,24/11/2024,En attente,Ventes,899.00,599.33
11/11/2024,Consulting transformation agile - Framework,2890.00,Agile Transformation Partners,25/11/2024,En attente,Services,3179.00,2312.00
12/11/2024,Déplacement Bordeaux TGV - Mission client,-167.90,SNCF Voyageurs,12/11/2024,Payé,Mobilité,0,167.90
13/11/2024,Licence SaaS Basic - Photographe Studio Photo,299.00,Studio Photo Lumière,26/11/2024,En attente,Ventes,299.00,199.33
14/11/2024,Formation Kubernetes CKA - 4 participants,1900.00,Container Training Institute,27/11/2024,En attente,Services,1900.00,1140.00
15/11/2024,Salaires équipe technique nov - 4 devs,-18723.89,URSSAF Île-de-France,30/11/2024,En attente,Masse Salariale,0,18723.89
